team,id,league,country,url_logo_espn
Eintracht Frankfurt,125,Bundesliga,Germany,https://a.espncdn.com/i/teamlogos/soccer/500/125.png
Lyon,167,Ligue 1,France,https://a.espncdn.com/i/teamlogos/soccer/500/167.png
Crystal Palace,384,Premier League,England,https://a.espncdn.com/i/teamlogos/soccer/500/384.png
Fulham,370,Premier League,England,https://a.espncdn.com/i/teamlogos/soccer/500/370.png
VfL Bochum,121,Bundesliga,Germany,https://a.espncdn.com/i/teamlogos/soccer/500/121.png
Borussia Monchengladbach,268,Bundesliga,Germany,https://a.espncdn.com/i/teamlogos/soccer/500/268.png
Borussia Dortmund,124,Bundesliga,Germany,https://a.espncdn.com/i/teamlogos/soccer/500/124.png
1. FC Union Berlin,5981,Bundesliga,Germany,https://a.espncdn.com/i/teamlogos/soccer/500/5981.png
VfL Wolfsburg,138,Bundesliga,Germany,https://a.espncdn.com/i/teamlogos/soccer/500/138.png
FC Augsburg,3841,Bundesliga,Germany,https://a.espncdn.com/i/teamlogos/soccer/500/3841.png
Newcastle,361,Premier League,England,https://a.espncdn.com/i/teamlogos/soccer/500/361.png
Leeds United,357,Premier League,England,https://a.espncdn.com/i/teamlogos/soccer/500/357.png
Strasbourg,180,Ligue 1,France,https://a.espncdn.com/i/teamlogos/soccer/500/180.png
Tottenham,367,Premier League,England,https://a.espncdn.com/i/teamlogos/soccer/500/367.png
Everton,368,Premier League,England,https://a.espncdn.com/i/teamlogos/soccer/500/368.png
Clermont Foot,204,Ligue 1,France,https://a.espncdn.com/i/teamlogos/soccer/500/204.png
Toulouse,179,Ligue 1,France,https://a.espncdn.com/i/teamlogos/soccer/500/179.png
Montpellier,274,Ligue 1,France,https://a.espncdn.com/i/teamlogos/soccer/500/274.png
Angers,7868,Ligue 1,France,https://a.espncdn.com/i/teamlogos/soccer/500/7868.png
Leicester City,375,Premier League,England,https://a.espncdn.com/i/teamlogos/soccer/500/375.png
Lille,166,Ligue 1,France,https://a.espncdn.com/i/teamlogos/soccer/500/166.png
Manchester United,360,Premier League,England,https://a.espncdn.com/i/teamlogos/soccer/500/360.png
Lens,175,Ligue 1,France,https://a.espncdn.com/i/teamlogos/soccer/500/175.png
VfB Stuttgart,134,Bundesliga,Germany,https://a.espncdn.com/i/teamlogos/soccer/500/134.png
Stade Rennes,165,Ligue 1,France,https://a.espncdn.com/i/teamlogos/soccer/500/165.png
West Ham United,371,Premier League,England,https://a.espncdn.com/i/teamlogos/soccer/500/371.png
FC Cologne,172,Bundesliga,Germany,https://a.espncdn.com/i/teamlogos/soccer/500/172.png
Marseille,176,Ligue 1,France,https://a.espncdn.com/i/teamlogos/soccer/500/176.png
SC Freiburg,126,Bundesliga,Germany,https://a.espncdn.com/i/teamlogos/soccer/500/126.png
Nantes,165,Ligue 1,France,https://a.espncdn.com/i/teamlogos/soccer/500/165.png
Osasuna,91,La Liga,Spain,https://a.espncdn.com/i/teamlogos/soccer/500/91.png
Aston Villa,362,Premier League,England,https://a.espncdn.com/i/teamlogos/soccer/500/362.png
Bayer Leverkusen,131,Bundesliga,Germany,https://a.espncdn.com/i/teamlogos/soccer/500/131.png
RB Leipzig,11420,Bundesliga,Germany,https://a.espncdn.com/i/teamlogos/soccer/500/11420.png
TSG Hoffenheim,7911,Bundesliga,Germany,https://a.espncdn.com/i/teamlogos/soccer/500/7911.png
Werder Bremen,130,Bundesliga,Germany,https://a.espncdn.com/i/teamlogos/soccer/500/130.png
Hertha Berlin,129,Bundesliga,Germany,https://a.espncdn.com/i/teamlogos/soccer/500/129.png
Wolverhampton,376,Premier League,England,https://a.espncdn.com/i/teamlogos/soccer/500/376.png
Arsenal,359,Premier League,England,https://a.espncdn.com/i/teamlogos/soccer/500/359.png
Southampton,376,Premier League,England,https://a.espncdn.com/i/teamlogos/soccer/500/376.png
Brighton and Hove Albion,331,Premier League,England,https://a.espncdn.com/i/teamlogos/soccer/500/331.png
Manchester City,382,Premier League,England,https://a.espncdn.com/i/teamlogos/soccer/500/382.png
Celta Vigo,85,La Liga,Spain,https://a.espncdn.com/i/teamlogos/soccer/500/85.png
AS Monaco,174,Ligue 1,France,https://a.espncdn.com/i/teamlogos/soccer/500/174.png
Brentford,337,Premier League,England,https://a.espncdn.com/i/teamlogos/soccer/500/337.png
Sampdoria,289,Serie A,Italy,https://a.espncdn.com/i/teamlogos/soccer/500/289.png
Schalke 04,123,Bundesliga,Germany,https://a.espncdn.com/i/teamlogos/soccer/500/123.png
AC Milan,103,Serie A,Italy,https://a.espncdn.com/i/teamlogos/soccer/500/103.png
