Competition_Name,Team,Rank,prob
Fußball-Bundesliga,Augsburg,5,1e-4
Fußball-Bundesliga,Augsburg,6,5e-4
Fußball-Bundesliga,Augsburg,7,0.027
Fußball-Bundesliga,Augsburg,8,0.0985
Fußball-Bundesliga,Augsburg,9,0.2274
Fußball-Bundesliga,Augsburg,10,0.2272
Fußball-Bundesliga,Augsburg,11,0.1733
Fußball-Bundesliga,Augsburg,12,0.1138
Fußball-Bundesliga,Augsburg,13,0.0692
Fußball-Bundesliga,Augsburg,14,0.0411
Fußball-Bundesliga,Augsburg,15,0.0164
Fußball-Bundesliga,Augsburg,16,0.0053
Fußball-Bundesliga,Augsburg,17,2e-4
Fußball-Bundesliga,Bayern Munich,1,0.9999
Fußball-Bundesliga,Bayern Munich,2,1e-4
Fußball-Bundesliga,Dortmund,1,1e-4
Fußball-Bundesliga,Dortmund,2,0.8671
Fußball-Bundesliga,Dortmund,3,0.1063
Fußball-Bundesliga,Dortmund,4,0.0205
Fußball-Bundesliga,Dortmund,5,0.0047
Fußball-Bundesliga,Dortmund,6,0.0013
Fußball-Bundesliga,Ein Frankfurt,4,0.0012
Fußball-Bundesliga,Ein Frankfurt,5,0.0082
Fußball-Bundesliga,Ein Frankfurt,6,0.0566
Fußball-Bundesliga,Ein Frankfurt,7,0.631
Fußball-Bundesliga,Ein Frankfurt,8,0.2148
Fußball-Bundesliga,Ein Frankfurt,9,0.0581
Fußball-Bundesliga,Ein Frankfurt,10,0.0208
Fußball-Bundesliga,Ein Frankfurt,11,0.0054
Fußball-Bundesliga,Ein Frankfurt,12,0.0031
Fußball-Bundesliga,Ein Frankfurt,13,5e-4
Fußball-Bundesliga,Ein Frankfurt,14,3e-4
Fußball-Bundesliga,FC Koln,7,0.0033
Fußball-Bundesliga,FC Koln,8,0.0163
Fußball-Bundesliga,FC Koln,9,0.0677
Fußball-Bundesliga,FC Koln,10,0.1157
Fußball-Bundesliga,FC Koln,11,0.1572
Fußball-Bundesliga,FC Koln,12,0.1688
Fußball-Bundesliga,FC Koln,13,0.1645
Fußball-Bundesliga,FC Koln,14,0.1378
Fußball-Bundesliga,FC Koln,15,0.0937
Fußball-Bundesliga,FC Koln,16,0.0538
Fußball-Bundesliga,FC Koln,17,0.0206
Fußball-Bundesliga,FC Koln,18,6e-4
Fußball-Bundesliga,Freiburg,5,8e-4
Fußball-Bundesliga,Freiburg,6,0.0106
Fußball-Bundesliga,Freiburg,7,0.2179
Fußball-Bundesliga,Freiburg,8,0.4459
Fußball-Bundesliga,Freiburg,9,0.1873
Fußball-Bundesliga,Freiburg,10,0.0827
Fußball-Bundesliga,Freiburg,11,0.0345
Fußball-Bundesliga,Freiburg,12,0.0145
Fußball-Bundesliga,Freiburg,13,0.0043
Fußball-Bundesliga,Freiburg,14,0.0012
Fußball-Bundesliga,Freiburg,15,3e-4
Fußball-Bundesliga,Hamburg,7,0.0102
Fußball-Bundesliga,Hamburg,8,0.0434
Fußball-Bundesliga,Hamburg,9,0.1048
Fußball-Bundesliga,Hamburg,10,0.1623
Fußball-Bundesliga,Hamburg,11,0.1811
Fußball-Bundesliga,Hamburg,12,0.1607
Fußball-Bundesliga,Hamburg,13,0.1342
Fußball-Bundesliga,Hamburg,14,0.0984
Fußball-Bundesliga,Hamburg,15,0.0638
Fußball-Bundesliga,Hamburg,16,0.0297
Fußball-Bundesliga,Hamburg,17,0.0113
Fußball-Bundesliga,Hamburg,18,1e-4
Fußball-Bundesliga,Heidenheim,13,1e-4
Fußball-Bundesliga,Heidenheim,14,8e-4
Fußball-Bundesliga,Heidenheim,15,0.002
Fußball-Bundesliga,Heidenheim,16,0.0064
Fußball-Bundesliga,Heidenheim,17,0.0359
Fußball-Bundesliga,Heidenheim,18,0.9548
Fußball-Bundesliga,Hoffenheim,2,0.1001
Fußball-Bundesliga,Hoffenheim,3,0.5025
Fußball-Bundesliga,Hoffenheim,4,0.2355
Fußball-Bundesliga,Hoffenheim,5,0.1193
Fußball-Bundesliga,Hoffenheim,6,0.0416
Fußball-Bundesliga,Hoffenheim,7,0.001
Fußball-Bundesliga,Leverkusen,2,0.0038
Fußball-Bundesliga,Leverkusen,3,0.0573
Fußball-Bundesliga,Leverkusen,4,0.1652
Fußball-Bundesliga,Leverkusen,5,0.274
Fußball-Bundesliga,Leverkusen,6,0.4534
Fußball-Bundesliga,Leverkusen,7,0.0412
Fußball-Bundesliga,Leverkusen,8,0.0048
Fußball-Bundesliga,Leverkusen,9,2e-4
Fußball-Bundesliga,Leverkusen,10,1e-4
Fußball-Bundesliga,M'gladbach,7,9e-4
Fußball-Bundesliga,M'gladbach,8,0.0111
Fußball-Bundesliga,M'gladbach,9,0.0405
Fußball-Bundesliga,M'gladbach,10,0.0855
Fußball-Bundesliga,M'gladbach,11,0.1314
Fußball-Bundesliga,M'gladbach,12,0.1612
Fußball-Bundesliga,M'gladbach,13,0.1724
Fußball-Bundesliga,M'gladbach,14,0.1644
Fußball-Bundesliga,M'gladbach,15,0.1266
Fußball-Bundesliga,M'gladbach,16,0.0761
Fußball-Bundesliga,M'gladbach,17,0.029
Fußball-Bundesliga,M'gladbach,18,9e-4
Fußball-Bundesliga,Mainz,7,8e-4
Fußball-Bundesliga,Mainz,8,0.0064
Fußball-Bundesliga,Mainz,9,0.0234
Fußball-Bundesliga,Mainz,10,0.0496
Fußball-Bundesliga,Mainz,11,0.0869
Fußball-Bundesliga,Mainz,12,0.1267
Fußball-Bundesliga,Mainz,13,0.1538
Fußball-Bundesliga,Mainz,14,0.1817
Fußball-Bundesliga,Mainz,15,0.1706
Fußball-Bundesliga,Mainz,16,0.1349
Fußball-Bundesliga,Mainz,17,0.063
Fußball-Bundesliga,Mainz,18,0.0022
Fußball-Bundesliga,RB Leipzig,2,0.0126
Fußball-Bundesliga,RB Leipzig,3,0.1603
Fußball-Bundesliga,RB Leipzig,4,0.2789
Fußball-Bundesliga,RB Leipzig,5,0.2998
Fußball-Bundesliga,RB Leipzig,6,0.2304
Fußball-Bundesliga,RB Leipzig,7,0.0168
Fußball-Bundesliga,RB Leipzig,8,0.0011
Fußball-Bundesliga,RB Leipzig,9,1e-4
Fußball-Bundesliga,St Pauli,7,2e-4
Fußball-Bundesliga,St Pauli,8,0.0039
Fußball-Bundesliga,St Pauli,9,0.0134
Fußball-Bundesliga,St Pauli,10,0.0321
Fußball-Bundesliga,St Pauli,11,0.0628
Fußball-Bundesliga,St Pauli,12,0.0998
Fußball-Bundesliga,St Pauli,13,0.1379
Fußball-Bundesliga,St Pauli,14,0.1685
Fußball-Bundesliga,St Pauli,15,0.2053
Fußball-Bundesliga,St Pauli,16,0.1725
Fußball-Bundesliga,St Pauli,17,0.1004
Fußball-Bundesliga,St Pauli,18,0.0032
Fußball-Bundesliga,Stuttgart,2,0.0163
Fußball-Bundesliga,Stuttgart,3,0.1736
Fußball-Bundesliga,Stuttgart,4,0.2987
Fußball-Bundesliga,Stuttgart,5,0.2931
Fußball-Bundesliga,Stuttgart,6,0.2051
Fußball-Bundesliga,Stuttgart,7,0.0131
Fußball-Bundesliga,Stuttgart,8,1e-4
Fußball-Bundesliga,Union Berlin,6,5e-4
Fußball-Bundesliga,Union Berlin,7,0.0366
Fußball-Bundesliga,Union Berlin,8,0.153
Fußball-Bundesliga,Union Berlin,9,0.2723
Fußball-Bundesliga,Union Berlin,10,0.2099
Fußball-Bundesliga,Union Berlin,11,0.1366
Fußball-Bundesliga,Union Berlin,12,0.0886
Fußball-Bundesliga,Union Berlin,13,0.0548
Fußball-Bundesliga,Union Berlin,14,0.0292
Fußball-Bundesliga,Union Berlin,15,0.0132
Fußball-Bundesliga,Union Berlin,16,0.0045
Fußball-Bundesliga,Union Berlin,17,8e-4
Fußball-Bundesliga,Werder Bremen,8,4e-4
Fußball-Bundesliga,Werder Bremen,9,0.0036
Fußball-Bundesliga,Werder Bremen,10,0.0102
Fußball-Bundesliga,Werder Bremen,11,0.0203
Fußball-Bundesliga,Werder Bremen,12,0.0398
Fußball-Bundesliga,Werder Bremen,13,0.0671
Fußball-Bundesliga,Werder Bremen,14,0.1054
Fußball-Bundesliga,Werder Bremen,15,0.1747
Fußball-Bundesliga,Werder Bremen,16,0.273
Fußball-Bundesliga,Werder Bremen,17,0.294
Fußball-Bundesliga,Werder Bremen,18,0.0115
Fußball-Bundesliga,Wolfsburg,8,3e-4
Fußball-Bundesliga,Wolfsburg,9,0.0012
Fußball-Bundesliga,Wolfsburg,10,0.0039
Fußball-Bundesliga,Wolfsburg,11,0.0105
Fußball-Bundesliga,Wolfsburg,12,0.023
Fußball-Bundesliga,Wolfsburg,13,0.0412
Fußball-Bundesliga,Wolfsburg,14,0.0712
Fußball-Bundesliga,Wolfsburg,15,0.1334
Fußball-Bundesliga,Wolfsburg,16,0.2438
Fußball-Bundesliga,Wolfsburg,17,0.4448
Fußball-Bundesliga,Wolfsburg,18,0.0267
La Liga,Alaves,6,1e-4
La Liga,Alaves,7,0.001
La Liga,Alaves,8,0.0029
La Liga,Alaves,9,0.0079
La Liga,Alaves,10,0.0189
La Liga,Alaves,11,0.0329
La Liga,Alaves,12,0.0516
La Liga,Alaves,13,0.0636
La Liga,Alaves,14,0.094
La Liga,Alaves,15,0.1208
La Liga,Alaves,16,0.1496
La Liga,Alaves,17,0.1739
La Liga,Alaves,18,0.1798
La Liga,Alaves,19,0.0983
La Liga,Alaves,20,0.0047
La Liga,Ath Bilbao,5,0.002
