rank,name,league,off,def,spi
1,Manchester City,Barclays Premier League,2.79,0.28,92
2,Bayern Munich,German Bundesliga,3.04,0.68,87.66
3,Barcelona,Spanish Primera Division,2.45,0.43,86.4
4,Real Madrid,Spanish Primera Division,2.56,0.6,84.41
5,Liverpool,Barclays Premier League,2.63,0.67,83.93
6,Arsenal,Barclays Premier League,2.53,0.61,83.92
7,Newcastle,Barclays Premier League,2.38,0.53,83.7
8,Napoli,Italy Serie A,2.3,0.51,83.25
9,Borussia Dortmund,German Bundesliga,2.83,0.84,82.91
10,Brighton and Hove Albion,Barclays Premier League,2.47,0.73,80.88
11,RB Leipzig,German Bundesliga,2.39,0.7,80.42
13,Aston Villa,Barclays Premier League,2.01,0.51,79.3
14,Atletico Madrid,Spanish Primera Division,2.26,0.67,79.29
15,Paris Saint-Germain,French Ligue 1,2.62,0.91,79.12
16,Manchester United,Barclays Premier League,2.35,0.74,79.08
17,Internazionale,Italy Serie A,2.33,0.76,78.43
19,Lille,French Ligue 1,2.07,0.64,77.2
20,Brentford,Barclays Premier League,2.1,0.67,77.14
21,Real Sociedad,Spanish Primera Division,1.87,0.52,77.07
24,Chelsea,Barclays Premier League,2.04,0.68,75.78
26,Lyon,French Ligue 1,2.28,0.88,75.18
27,Stade Rennes,French Ligue 1,2.01,0.69,75.14
28,Bayer Leverkusen,German Bundesliga,2.03,0.72,74.88
29,Athletic Bilbao,Spanish Primera Division,1.84,0.59,74.78
32,Fiorentina,Italy Serie A,2.07,0.76,74.35
34,Marseille,French Ligue 1,2.05,0.77,73.99
36,Crystal Palace,Barclays Premier League,1.81,0.62,73.46
37,Villarreal,Spanish Primera Division,2.14,0.86,73.35
38,Lens,French Ligue 1,1.96,0.73,73.34
39,AC Milan,Italy Serie A,2.05,0.8,73.33
40,AS Roma,Italy Serie A,1.82,0.65,73
42,FC Cologne,German Bundesliga,2.03,0.81,72.57
43,Tottenham Hotspur,Barclays Premier League,2.19,0.95,72.14
45,Eintracht Frankfurt,German Bundesliga,2.07,0.88,71.61
46,West Ham United,Barclays Premier League,1.94,0.81,71.12
47,Atalanta,Italy Serie A,2.1,0.93,71.05
48,VfL Wolfsburg,German Bundesliga,2.07,0.92,70.86
49,Juventus,Italy Serie A,1.89,0.81,70.36
50,Torino,Italy Serie A,1.7,0.66,70.34
51,Sevilla FC,Spanish Primera Division,1.81,0.77,69.76
52,Mainz,German Bundesliga,2.11,1.02,69.33
54,Valencia,Spanish Primera Division,1.73,0.75,68.68
55,Lazio,Italy Serie A,1.77,0.79,68.63
56,Fulham,Barclays Premier League,1.9,0.9,68.22
58,Celta Vigo,Spanish Primera Division,1.72,0.77,68.08
59,Nice,French Ligue 1,1.75,0.8,67.86
60,VfB Stuttgart,German Bundesliga,1.96,0.97,67.66
61,Borussia Monchengladbach,German Bundesliga,2.1,1.09,67.64
64,Girona FC,Spanish Primera Division,1.93,0.97,67.11
65,Real Betis,Spanish Primera Division,1.73,0.82,66.95
66,SC Freiburg,German Bundesliga,1.91,0.99,66.38
68,Strasbourg,French Ligue 1,1.78,0.89,66.23
69,1. FC Union Berlin,German Bundesliga,1.71,0.84,65.99
70,Osasuna,Spanish Primera Division,1.63,0.8,65.37
73,Getafe,Spanish Primera Division,1.51,0.73,64.58
74,AS Monaco,French Ligue 1,1.95,1.11,64.44
75,Leicester City,Barclays Premier League,1.87,1.04,64.42
77,Reims,French Ligue 1,1.72,0.94,63.87
78,Bologna,Italy Serie A,1.79,1,63.79
79,Werder Bremen,German Bundesliga,1.93,1.11,63.74
82,Everton,Barclays Premier League,1.82,1.03,63.63
83,TSG Hoffenheim,German Bundesliga,1.96,1.17,63.26
84,Sassuolo,Italy Serie A,1.9,1.12,63.11
89,Rayo Vallecano,Spanish Primera Division,1.66,0.93,62.63
93,Clermont Foot,French Ligue 1,1.61,0.94,61.42
98,Toulouse,French Ligue 1,1.64,1.03,59.96
99,Udinese,Italy Serie A,1.67,1.06,59.92
100,Lecce,Italy Serie A,1.46,0.88,59.68
101,Mallorca,Spanish Primera Division,1.51,0.93,59.67
103,AFC Bournemouth,Barclays Premier League,1.68,1.08,59.58
104,Schalke 04,German Bundesliga,1.81,1.2,59.46
106,Wolverhampton,Barclays Premier League,1.55,0.99,59.06
107,Leeds United,Barclays Premier League,1.84,1.25,59
110,Espanyol,Spanish Primera Division,1.86,1.27,58.85
111,Monza,Italy Serie A,1.69,1.12,58.83
114,Montpellier,French Ligue 1,1.77,1.21,58.56
117,Cadiz,Spanish Primera Division,1.52,0.99,58.27
124,Elche,Spanish Primera Division,1.62,1.11,57.52
125,Almeria,Spanish Primera Division,1.69,1.18,57.43
126,FC Augsburg,German Bundesliga,1.73,1.22,57.19
127,Southampton,Barclays Premier League,1.66,1.18,56.74
129,VfL Bochum,German Bundesliga,1.84,1.37,56.31
131,Nottingham Forest,Barclays Premier League,1.64,1.19,56.13
134,Brest,French Ligue 1,1.49,1.06,55.76
144,Real Valladolid,Spanish Primera Division,1.55,1.2,53.94
145,Hertha Berlin,German Bundesliga,1.71,1.36,53.89
147,Lorient,French Ligue 1,1.46,1.12,53.66
149,Empoli,Italy Serie A,1.57,1.25,53.35
174,Nantes,French Ligue 1,1.35,1.11,51.13
183,Verona,Italy Serie A,1.37,1.18,50.3
199,Spezia,Italy Serie A,1.45,1.32,48.74
202,Salernitana,Italy Serie A,1.48,1.36,48.6
207,Auxerre,French Ligue 1,1.33,1.21,48.38
214,Cremonese,Italy Serie A,1.47,1.4,47.61
224,Angers,French Ligue 1,1.33,1.27,47.09
281,Sampdoria,Italy Serie A,1.36,1.57,41.35
341,AC Ajaccio,French Ligue 1,1,1.29,38.12
375,Troyes,French Ligue 1,1.23,1.7,35.64
